,cat,group
0,Baby Cereal,Baby
1,Beer,Alcohol
2,Belacan,Condiments
3,Bird Nest,Health Supplements
4,Biscuits,Snacks
5,Bouilon,Soup
6,Butter,Baking
7,CSD,Drinks
8,Cake,Baking
9,Canned Product,Canned Product
10,Cereal Beverage,Drinks
11,Cereals,Snacks
12,Cheese,Cultured Milk Products
13,Chicken Essence,Health Supplements
14,Choc/Nut Spread,Spread
15,Chocolate,Snacks
16,Coconut Milk,Condiments
17,Coffee,Drinks
18,Condensed/Evap Milk,Creamer
19,Confectionery,Baking
20,Cooking Oils,Cooking Oils
21,Cooking Sauces,Condiments
22,Cordials,Alcohol
23,Creamer,Creamer
24,Cultured Milk,Cultured Milk Products
25,Drinking Water,Drinking Water
26,Eggs,Eggs
27,Energy Drinks,Drinks
28,Flour,Baking
29,Frozen Food,Frozen Food
30,Fruit/Veg Juices,Drinks
31,Ghee,Spread
32,Honey,Spread
33,Ice Cream,Cultured Milk Products
34,Instant Noodles,Noodles
35,Instant Soup,Soup
36,Isotonic Drinks,Drinks
37,Jam,Spread
38,Kaya,Spread
39,Liquid Milk,Drinks
40,MSG,Condiments
41,Margarine,Baking
42,Milk Powder-Adult,Milk Powder-Adult
43,Milk Powder-Infant,Baby
44,Milk Powder-Kids,Baby
45,Peanut Butter,Spread
46,RTD Coffee,Drinks
47,RTD Tea,Drinks
48,Rice,Rice
49,Salad Dressing,Condiments
50,Savoury Spread,Spread
51,Seasoning Powder,Condiments
52,Snack,Snack
53,Soy Milk,Drinks
54,Spagetti,Noodles
55,Spirits,Alcohol
56,Sugar,Baking
57,Tea,Drinks
58,Tonic Food Drink,Drinks
59,Wine,Alcohol
60,Yoghurt Drink,Cultured Milk Products
61,Yoghurts,Cultured Milk Products
